sku,type,variant key,Product name,Product description,Product key,category,Product price mode,brand,Premium Wet Pet Food,Premium Dry Pet Food,weight,price EUR,price PLN, price GBP,url
//Dog
D-F-DF-PP1,DFD001,"pet-food",dog_food_dry,Pro Plan Veterinary Diets HA Hypoallergenic Adult Dry Dog Food 11kg,dog_food_dry_001,Dog > Food > dog-food-dry,embedded prices,Pro Plan,No,Yes,11,"EUR",74,"PLN",311,"GBP",62,dog_food_dry,dog_food_dry1
D-F-DF-RC1,DFD002,"pet-food",dog_food_dry,Royal Canin Veterinary Hypoallergenic Dry Dog Food 14kg,dog_food_dry_002,Dog > Food > dog-food-dry,embedded prices,Royal Canin,No,Yes,14,"EUR",95,"PLN",400,"GBP",80,dog_food_dry2
D-F-DF-RC2,DFD003,"pet-food",dog_food_dry,Royal Canin Veterinary Gastrointestinal Low Fat Dry Dog Food 12kg,dog_food_dry_003,Dog > Food > dog-food-dry,embedded prices,Royal Canin,No,Yes,12,"EUR",84,"PLN",355,"GBP",71,dog_food_dry3
D-F-DF-RC3,DFD004,"pet-food",dog_food_dry,Royal Canin Veterinary Satiety Adult Dry Dog Food 12kg,dog_food_dry_004,Dog > Food > dog-food-dry,embedded prices,Royal Canin,No,Yes,12,"EUR",75,"PLN",320,"GBP",64,dog_food_dry4
D-F-DF-JW1,DFD005,"pet-food",dog_food_dry,James Wellbeloved Hypoallergenic Adult Dry Dog Food Turkey & Rice 15kg,dog_food_dry_005,Dog > Food > dog-food-dry,embedded prices,James Wellbeloved,No,Yes,15,"EUR",59,"PLN",250,"GBP",50,dog_food_dry5
D-F-DF-AVA1,DFD006,"pet-food",dog_food_dry,AVA Optimum Health Sensitive Skin & Stomach Dry Dog Food 15kg,dog_food_dry_006,Dog > Food > dog-food-dry,embedded prices,AVA,No,Yes,15,"EUR",61,"PLN",260,"GBP",52,dog_food_dry6
D-F-DF-AVA2,DFD007,"pet-food",dog_food_dry,AVA Optimum Health Medium Breed Adult Dry Dog Food Chicken 15kg,dog_food_dry_007,Dog > Food > dog-food-dry,embedded prices,AVA,No,Yes,15,"EUR",56,"PLN",240,"GBP",48,dog_food_dry7
D-F-DF-RC4,DFD008,"pet-food",dog_food_dry,Royal Canin Maxi Dry Adult Dog Food 15kg,dog_food_dry_008,Dog > Food > dog-food-dry,embedded prices,Royal Canin,No,Yes,15,"EUR",67,"PLN",285,"GBP",57,dog_food_dry8
D-F-DF-WM1,DFD009,"pet-food",dog_food_dry,Wainwright's Mature Dry Dog Food Turkey with Rice 15kg,dog_food_dry_009,Dog > Food > dog-food-dry,embedded prices,Wainwright's Mature,No,Yes,15,"EUR",55,"PLN",235,"GBP",47,dog_food_dry9
